mapping_key,source_system,service_category_original,service_category_standardized
nyc_311|Plumbing,nyc_311,Plumbing,Housing / Buildings / Urban Planning
nyc_311|Lead,nyc_311,Lead,Public Health / Pests
nyc_311|Emergency Response Team (ERT),nyc_311,Emergency Response Team (ERT),Public Safety / Police
nyc_311|Water Conservation,nyc_311,Water Conservation,Utilities / Water / Sewer
nyc_311|Lost Property,nyc_311,Lost Property,Public Safety / Police
nyc_311|Unsanitary Animal Pvt Property,nyc_311,Unsanitary Animal Pvt Property,Public Health / Pests
nyc_311|Street Sign - Dangling,nyc_311,Street Sign - Dangling,Mobility / Parking / Traffic
nyc_311|Derelict Vehicles,nyc_311,Derelict Vehicles,Mobility / Parking / Traffic
nyc_311|Street Sign - Missing,nyc_311,Street Sign - Missing,Mobility / Parking / Traffic
nyc_311|Dumpster Complaint,nyc_311,Dumpster Complaint,Sanitation / Cleaning / Waste
nyc_311|Urinating in Public,nyc_311,Urinating in Public,Public Safety / Police
nyc_311|Air Quality,nyc_311,Air Quality,Public Health / Pests
nyc_311|Mobile Food Vendor,nyc_311,Mobile Food Vendor,Economic Development / Commerce
nyc_311|Litter Basket Complaint,nyc_311,Litter Basket Complaint,Sanitation / Cleaning / Waste
nyc_311|Graffiti,nyc_311,Graffiti,Public Space Maintenance
nyc_311|Illegal Posting,nyc_311,Illegal Posting,Public Space Maintenance
nyc_311|Noise - House of Worship,nyc_311,Noise - House of Worship,Noise
nyc_311|Special Projects Inspection Team (SPIT),nyc_311,Special Projects Inspection Team (SPIT),Housing / Buildings / Urban Planning
nyc_311|Street Sign - Damaged,nyc_311,Street Sign - Damaged,Mobility / Parking / Traffic
nyc_311|Unleashed Dog,nyc_311,Unleashed Dog,Public Safety / Police
nyc_311|LinkNYC,nyc_311,LinkNYC,Administrative / Information / Digital Services
nyc_311|Real Time Enforcement,nyc_311,Real Time Enforcement,Mobility / Parking / Traffic
nyc_311|Hazardous Materials,nyc_311,Hazardous Materials,Public Health / Pests
nyc_311|Bike Rack,nyc_311,Bike Rack,Mobility / Parking / Traffic
nyc_311|Green Taxi Complaint,nyc_311,Green Taxi Complaint,Mobility / Parking / Traffic
nyc_311|Construction Lead Dust,nyc_311,Construction Lead Dust,Public Health / Pests
nyc_311|Cannabis Retailer,nyc_311,Cannabis Retailer,Economic Development / Commerce
nyc_311|Taxi Report,nyc_311,Taxi Report,Mobility / Parking / Traffic
nyc_311|Bike/Roller/Skate,nyc_311,Bike/Roller/Skate,Mobility / Parking / Traffic
nyc_311|Commercial Disposal Complaint,nyc_311,Commercial Disposal Complaint,Sanitation / Cleaning / Waste
nyc_311|New Tree Request,nyc_311,New Tree Request,Parks / Trees / Environment
nyc_311|Taxi Compliment,nyc_311,Taxi Compliment,Mobility / Parking / Traffic
nyc_311|Illegal Animal Kept as Pet,nyc_311,Illegal Animal Kept as Pet,Public Safety / Police
nyc_311|Bus Stop Shelter Complaint,nyc_311,Bus Stop Shelter Complaint,Mobility / Parking / Traffic
nyc_311|Harboring Bees/Wasps,nyc_311,Harboring Bees/Wasps,Public Health / Pests
nyc_311|Sanitation Worker or Vehicle Complaint,nyc_311,Sanitation Worker or Vehicle Complaint,Sanitation / Cleaning / Waste
nyc_311|Wood Pile Remaining,nyc_311,Wood Pile Remaining,Public Space Maintenance
nyc_311|Boilers,nyc_311,Boilers,Housing / Buildings / Urban Planning
nyc_311|Lot Condition,nyc_311,Lot Condition,Public Space Maintenance
nyc_311|Water Quality,nyc_311,Water Quality,Utilities / Water / Sewer
